File_accession	md5sum
ENCFF332SCG	46c728282f436846dda2e6fd06a05d0f
ENCFF591BAY	615445218c4d845e93fea578a7230422
ENCFF591QAG	4a83f2ec8ed07194aae16fb2125d50b3
ENCFF778VJL	4f04671a6fc6aaf7a1f52ce381e0bbc6
ENCFF997HHO	689b9a5828c53a594c75f6534a324a6c
ENCFF049WJI	c179a0d9c939eefc012267902905f65d
ENCFF189YSM	5e5b640fd3c54d6fc9504d103f1532b7
ENCFF697MUB	685cfcb082f5f5b2f79b59b768af6f59
ENCFF628ARL	ec51ecf40b45a9d87a60f322aff8b669
ENCFF469LGT	66023deb2c6ae471403eb3cf45492a07
ENCFF270JNZ	527acde68e0be423b391318d071243cb
ENCFF059CGX	4fc3625545b1d686dd5b10417684fe64
ENCFF182ZGK	89d7411772c90678fc9ba99ca50841e3
ENCFF287UHP	46f2ae76779da5be7de09b63d5c2ceb9
ENCFF521ITF	64a38bff415be87efc61d2a63dacf8c4
ENCFF346CDZ	9b138d252f4515d7c6c96034d435e850
ENCFF675QOY	85e4ba19db10cfa0f75dfd66f5ef0c61
ENCFF368VLY	ae7151d7a23e1dac715f1edc6ad738d0
ENCFF415RKU	4248853c99a6b9e3b77159319300b7de
ENCFF281QKD	8895c38189da3801582c2d83de6c4c0d
ENCFF858TZP	a9aa1e42082d5d7f74fd99e66be88097
ENCFF872BRQ	87003ce0162d7b99b76449f8847d601a
ENCFF841ZHA	486b00b039875f77111f732b6a076554
ENCFF169UCZ	c16eda067b4881f4fb50bd45a0ddd5e5
ENCFF430VEQ	bddb3ec0b4551319360b88c13b55fede
ENCFF139JJY	1c1a319a93127ef097795966d44e0ee3
ENCFF028CAI	60a1926a8abb58c8943f5a66a9215d62
ENCFF762IFP	f6a97407b6ba4697108e74451fb3eaf4
